#0048BA Absolute zero
#4C2F27 Acajou
#B0BF1A Acid green
#7CB9E8 Aero
#C9FFE5 Aero blue
#B284BE African violet
#5D8AA8 Air Force Navy(RAF)
#00308F Air Force blue (USAF)
#72A0C1 Air superiority blue
#AF002A Alabama crimson
#F2F0E6 Alabaster
#F0F8FF Alice blue
#84DE02 Alien Armpit
#E32636 Alizarin crimson
#C46210 Alloy orange
#EFDECD Almond
#E52B50 Amaranth
#9F2B68 Amaranth deep purple
#F19CBB Amaranth pink
#AB274F Amaranth purple
#D3212D Amaranth red
#3B7A57 Amazon
#00C4B0 Amazonite
#FFBF00 Amber
#FF7E00 Amber (SAE/ECE)
#3B3B6D American blue
#391802 American bronze
#804040 American brown
#D3AF37 American gold
#34B334 American green
#FF8B00 American orange
#FF9899 American pink
#431C53 American purple
#B32134 American red
#FF033E American rose
#CFCFCF American silver
#551B8C American violet
#F2B400 American yellow
#9966CC Amethyst
#A4C639 Android green
#F2F3F4 Anti-flash white
#CD9575 Antique brass
#665D1E Antique bronze
#915C83 Antique fuchsia
#841B2D Antique ruby
#FAEBD7 Antique white
#008000 Ao (English)
#66B447 Apple
#8DB600 Apple Green
#FBCEB1 Apricot
#00FFFF Aqua
#7FFFD4 Aquamarine
#D0FF14 Arctic lime
#4B5320 Army green
#3B444B Arsenic
#8F9779 Artichoke
#E9D66B Arylide yellow
#B2BEB5 Ash gray
#87A96B Asparagus
#003A6C Ateneo blue
#FF9966 Atomic tangerine
#A52A2A Auburn
#FDEE00 Aureolin
#6E7F80 AuroMetalSaurus
#568203 Avocado
#FF2052 Awesome
#63775B Axolotl
#C39953 Aztec Gold
#007FFF Azure
#F0FFFF Azure (web color)
#F0FFFF Azure mist
#DBE9F4 Azureish white
#89CFF0 link target=B
#A1CAF1 Baby blue eyes
#F4C2C2 Baby pink
#FEFEFA Baby powder
#FF91AF Baker-Miller pink
#21ABCD Ball blue
#FAE7B5 Banana Mania
#FFE135 Banana yellow
#006A4E Bangladesh green
#E0218A Barbie pink
#7C0A02 Barn red
#1DACD6 Battery Charged Blue
#848482 Battleship grey
#98777B Bazaar
#BCD4E6 Beau blue
#9F8170 Beaver
#F28E1C Beer
#FA6E79 Begonia
#F5F5DC Beige
#2E5894 B'dazzled blue
#9C2542 Big dip oâ€™ruby
#E88E5A Big Foot Feet
#FFE4C4 Bisque
#3D2B1F Bistre
#967117 Bistre brown
#CAE00D Bitter lemon
#BFFF00 Bitter lime
#FE6F5E Bittersweet
#BF4F51 Bittersweet shimmer
#000000 Black
#3D0C02 Black bean
#1B1811 Black chocolate
#3B2F2F Black coffee
#54626F Black Coral
#253529 Black leather jacket
#3B3C36 Black olive
#8F5973 Blackberry
#BFAFB2 Black Shadows
#FFEBCD Blanched almond
#A57164 Blast-off bronze
#318CE7 Bleu de France
#ACE5EE Blizzard Blue
#FAF0BE Blond
#8A0303 Blood
#D1001C Blood orange
#660000 Blood red
#A41313 Blood (Animal)
#630F0F Blood (Organ)
#0000FF Blue
#1F75FE Blue (Crayola)
#0093AF Blue (Munsell)
#0087BD Blue (NCS)
#0018A8 Blue (Pantone)
#333399 Blue (pigment)
#0247FE Blue (RYB)
#A2A2D0 Blue Bell
#00B9FB Blue Bolt
#0088DC Blue cola
#6699CC Blue-gray
#0D98BA Blue-green
#064E40 Blue-green (color wheel)
#5DADEC Blue Jeans
#ACE5EE Blue Lagoon
#553592 Blue-magenta violet
#126180 Blue sapphire
#8A2BE2 Blue-violet
#7366BD Blue-violet (Crayola)
#4D1A7F Blue-violet (color wheel)
#5072A7 Blue yonder
#4F86F7 Blueberry
#1C1CF0 Bluebonnet
#DE5D83 Blush
#79443B Bole
#0095B6 Bondi blue
#E3DAC9 Bone
#DDE26A Booger Buster
#CC0000 Boston University Red
#006A4E Bottle green
#873260 Boysenberry
#0070FF Brandeis blue
#87413F Brandy
#B5A642 Brass
#CB4154 Brick red
#1DACD6 Bright cerulean
#EBECF0 Bright gray
#66FF00 Bright green
#BF94E4 Bright lavender
#D891EF Bright lilac
#C32148 Bright maroon
#1974D2 Bright navy blue
#FF007F Bright pink
#08E8DE Bright turquoise
#D19FE8 Bright ube
#FFAA1D Bright Yellow (Crayola)
#3399FF Brilliant azure
#F4BBFF Brilliant lavender
#FF55A3 Brilliant rose
#FB607F Brink pink
#004225 British racing green
#88540B Bronze
#CD7F32 Bronze
#B08D57 Bronze (Metallic)
#737000 Bronze Yellow
#993300 Brown
#AF593E Brown (Crayola)
#964B00 Brown (traditional)
#A52A2A Brown (web)
#6B4423 Brown-nose
#AF6E4D Brown Sugar
#5F1933 Brown Chocolate
#4A2C2A Brown Coffee
#CC9966 Brown Yellow
#1B4D3E Brunswick green
#FFC1CC Bubble gum
#E7FEFF Bubbles
#7BB661 Bud green
#F0DC82 Buff
#480607 Bulgarian rose
#800020 Burgundy
#DEB887 Burlywood
#A17A74 Burnished Brown
#CC5500 Burnt orange
#E97451 Burnt sienna
#8A3324 Burnt umber
#24A0ED Button Blue
#BD33A4 Byzantine
#702963 Byzantium
#536872 Cadet
#5F9EA0 Cadet blue
#A9B2C3 Cadet blue (Crayola)
#91A3B0 Cadet grey
#0A1195 Cadmium blue
